employee_id,name,email,department,salary,age,is_active
13383288,John Doe,autumn02@example.com,IT,68564,36,True
10603797,Chris Johnson,whines@example.org,IT,72454,36,False
7742979,Jane Smith,jayjohnson@example.org,Finance,70668,36,True
8551751,Jane Smith,jensenjonathan@example.net,Finance,57577,35,True
6520709,Chris Johnson,cthomas@example.org,IT,48000,29,True
8760877,Chris Johnson,zthomas@example.net,Marketing,70618,30,True
2761408,Chris Johnson,leewood@example.org,Operations,48000,32,True
15002568,Sarah Wilson,mistycooper@example.net,Marketing,74160,26,False
7952715,David Lee,denise61@example.com,HR,64631,36,False
6697456,David Lee,curtiskim@example.com,Marketing,48000,36,True
5694544,Jane Smith,kennethholland@example.net,IT,71106,35,True
7901042,John Doe,melanie39@example.com,IT,62193,32,True
11632848,John Doe,brettpowell@example.net,IT,75000,32,True
14151717,John Doe,kimberly12@example.com,HR,62688,35,True
13307187,Emily Davis,kelly68@example.com,Operations,48000,36,False
15108812,Jane Smith,prestoncarey@example.com,HR,48000,28,False
13734047,Anna White,travis92@example.net,IT,75000,36,True
9147116,Lisa Taylor,eknight@example.net,IT,71101,35,True
13129203,Emily Davis,mossdavid@example.net,IT,75000,36,True
5246866,Sarah Wilson,james87@example.net,HR,61581,31,False
15218491,Sarah Wilson,sullivanjacob@example.org,IT,73857,33,True
10787351,David Lee,robertlewis@example.com,HR,48000,36,False
8604530,Jane Smith,twilliams@example.net,Finance,75000,34,True
3676137,John Doe,johnwebb@example.com,Finance,63764,36,True
16324258,John Doe,bonniefigueroa@example.com,IT,74567,35,True
136300,Anna White,cwilson@example.net,HR,48096,31,False
9272247,John Doe,gutierrezanthony@example.com,Marketing,57096,36,True
15349114,Emily Davis,nicholewilliams@example.com,HR,75000,36,True
9080231,Michael Brown,angela14@example.com,Finance,75000,30,True
1318463,Anna White,kathleenmendoza@example.org,IT,75000,28,True
7927240,John Doe,jamesmartinez@example.net,IT,75000,30,True
7019930,Sarah Wilson,angelamartinez@example.com,Finance,48000,36,True
2625670,David Lee,djacobson@example.org,Marketing,48000,34,True
629691,Michael Brown,cbullock@example.org,Marketing,70663,35,True
5002302,Anna White,qyang@example.net,Finance,75000,34,False
5331201,Anna White,rebeccamiller@example.net,HR,51536,35,True
15020497,David Lee,edwarddunlap@example.org,Finance,50091,36,True
9743309,Chris Johnson,mark13@example.com,HR,48000,36,True
5029163,Chris Johnson,jessica99@example.org,IT,74142,34,True
12530961,Emily Davis,vandrews@example.org,IT,66616,33,True
8742657,Robert Miller,sydneyjimenez@example.net,Operations,72128,27,True
8200816,Robert Miller,richard95@example.net,IT,75000,36,True
5766895,Robert Miller,lucas93@example.com,HR,62724,28,False
8325741,David Lee,ukramer@example.com,IT,75000,32,True
404829,Chris Johnson,jimenezkenneth@example.com,IT,75000,30,True
4656032,Jane Smith,stevensonjose@example.net,HR,48000,35,True
5507429,Lisa Taylor,poolejennifer@example.net,Operations,73872,33,True
15103159,Emily Davis,richchristina@example.net,HR,69184,25,True
282719,Lisa Taylor,andrewallen@example.com,Marketing,68553,36,True
11235416,David Lee,ljohnson@example.org,Marketing,75000,28,False
11901917,John Doe,kimberly68@example.net,IT,64225,33,False
16194539,John Doe,beardchristine@example.org,Finance,75000,35,False
10584986,Michael Brown,briannewman@example.com,HR,75000,36,True
5340058,Emily Davis,ocarroll@example.net,Marketing,56042,36,True
10417400,Anna White,janetlopez@example.net,HR,69372,34,True
16766966,Robert Miller,boydanthony@example.net,Finance,48000,25,False
9159026,Sarah Wilson,johnstonheather@example.org,Marketing,74338,32,True
4206257,Anna White,william28@example.com,Marketing,50812,33,False
8981849,Michael Brown,perkinsbrandon@example.com,HR,65986,28,True
12541003,Jane Smith,gregorygonzalez@example.com,Finance,73279,34,True
5426876,Jane Smith,alisha55@example.org,Marketing,75000,32,True
6269779,Chris Johnson,evansselena@example.com,HR,75000,25,True
16374980,Robert Miller,jacob31@example.com,Finance,73487,36,True
3038232,Emily Davis,finleycarla@example.net,Marketing,62687,36,True
13063404,Anna White,mooreamanda@example.com,HR,75000,36,True
11805584,John Doe,owyatt@example.com,IT,63109,29,True
13805424,David Lee,pnguyen@example.org,IT,64973,34,True
7508860,Jane Smith,pattersonheather@example.com,Finance,52751,35,False
588155,Michael Brown,bhoover@example.org,IT,75000,31,True
9984239,Lisa Taylor,jill37@example.net,Finance,52057,33,False
7266002,Robert Miller,paul38@example.net,IT,62192,33,True
14078894,Robert Miller,rhonda10@example.com,IT,50105,36,True
7814135,Michael Brown,thomasmyers@example.com,IT,73572,35,True
632524,Chris Johnson,jerry43@example.com,Finance,56515,36,False
6576910,David Lee,tranbenjamin@example.com,Finance,66662,33,False
3299,Sarah Wilson,andreamoss@example.org,HR,71469,36,True
6713622,Anna White,kimberlysmith@example.org,IT,68989,27,True
1065945,Michael Brown,elizabeth15@example.com,HR,48000,36,True
6117576,Emily Davis,thompsonlarry@example.org,HR,48000,34,True
8026499,Anna White,istout@example.net,Marketing,73387,35,True
4049547,Lisa Taylor,qdavis@example.org,IT,70272,29,True
11536133,Emily Davis,gmaxwell@example.net,HR,75000,36,False
13087448,Lisa Taylor,mwilliams@example.org,IT,71536,36,True
4264165,Michael Brown,bking@example.org,Marketing,63990,36,True
15893840,Michael Brown,wallen@example.net,Operations,75000,36,False
13388816,John Doe,snowjeffrey@example.org,Operations,72483,33,True
15936192,Emily Davis,watsonmelissa@example.net,HR,56859,27,False
11829246,Sarah Wilson,bryan84@example.org,IT,75000,28,False
8312536,David Lee,bjohnson@example.com,IT,48000,29,True
16339710,Lisa Taylor,montgomeryangie@example.com,Operations,54885,36,True
12473579,Anna White,tamara30@example.net,Operations,70495,36,True
4586376,Lisa Taylor,lauramartinez@example.org,Finance,52330,36,True
11835492,Robert Miller,amymcclure@example.org,HR,56273,36,True
3194733,Anna White,blucero@example.org,Finance,53035,36,True
12571840,Lisa Taylor,dallen@example.org,Marketing,57115,36,True
3097910,Sarah Wilson,sharon56@example.net,Finance,63487,36,False
13124612,Jane Smith,edwardslauren@example.com,IT,55802,33,True
3734875,David Lee,yjohnson@example.org,IT,70197,27,True
5568691,Lisa Taylor,jordanrebecca@example.net,IT,75000,34,True
2074356,Michael Brown,bsnyder@example.com,IT,75000,36,True
